"Protein.Accession","Gene.Names","Protein.Annotation","X0h.a","X0h.b","X2h.a","X2h.b","X8h.a","X8h.b","X16h.a","X16h.b"
"sp|Q05D44|IF2P_MOUSE","Eif5b","Eukaryotic translation initiation factor 5B OS=Mus musculus GN=Eif5b PE=1 SV=2",131159,130663.9,86467.9,109333.5,185966.8,176244.9,213419.6,221072.8
"sp|O55135|IF6_MOUSE","Eif6","Eukaryotic translation initiation factor 6 OS=Mus musculus GN=Eif6 PE=1 SV=2",53025.4,54561.9,57213.7,48742.6,62777.2,62144.5,79940.8,80943
"sp|Q9JLJ5|ELOV1_MOUSE","Elovl1","Elongation of very long chain fatty acids protein 1 OS=Mus musculus GN=Elovl1 PE=2 SV=1",25046.6,21082.1,24699.2,29256.2,29934.1,28842.8,56340.1,57929.9
"sp|Q91WG4|ELP2_MOUSE","Elp2","Elongator complex protein 2 OS=Mus musculus GN=Elp2 PE=1 SV=1",77466.8,75369.7,79068.3,71993.1,82228.2,81010.7,120099.9,121807.3
"sp|Q3TAS6|EMC10_MOUSE","Emc10","ER membrane protein complex subunit 10 OS=Mus musculus GN=Emc10 PE=2 SV=2",70229.6,63669.8,76595.8,71192.1,84309.1,80573.4,117678.2,114293.7
"tr|Q3U0P5|Q3U0P5_MOUSE","Entpd6","Ectonucleoside triphosphate diphosphohydrolase 6, isoform CRA_a OS=Mus musculus GN=Entpd6 PE=2 SV=1",32467.7,33478.6,30872.1,31958.7,45206.1,43221.6,66909.2,66612.7
"sp|O54839|EOMES_MOUSE","Eomes","Eomesodermin homolog OS=Mus musculus GN=Eomes PE=1 SV=3",25487.8,26248.5,27294.3,28009.1,25091.6,22994.5,40729.5,40706.6
"sp|Q8CGC7|SYEP_MOUSE","Eprs","Bifunctional glutamate/proline--tRNA ligase OS=Mus musculus GN=Eprs PE=1 SV=4",158558.2,159609.2,125086.4,153711.5,187879.7,179144.2,244332.3,257750.9
"sp|P70459|ERF_MOUSE","Erf","ETS domain-containing transcription factor ERF OS=Mus musculus GN=Erf PE=2 SV=1",31940.8,31160.5,40019.8,35324.7,45328.1,44550.5,49263.1,47852.6
"sp|Q91X78|ERLN1_MOUSE","Erlin1","Erlin-1 OS=Mus musculus GN=Erlin1 PE=1 SV=1",76352.8,73072,82310.7,72188,86854.7,83278.2,111780.6,113503.1
"sp|Q3V1V3|ESF1_MOUSE","Esf1","ESF1 homolog OS=Mus musculus GN=Esf1 PE=1 SV=1",105529,105466.9,106240.1,101377.5,176390.2,161786.5,228972.9,237071.8
"sp|Q8BWY3|ERF1_MOUSE","Etf1","Eukaryotic peptide chain release factor subunit 1 OS=Mus musculus GN=Etf1 PE=1 SV=4",138644.1,140319.7,110015.6,139157.5,176249.9,167951.9,241153,243889.4
"sp|Q9D4V0|EKI1_MOUSE","Etnk1","Ethanolamine kinase 1 OS=Mus musculus GN=Etnk1 PE=2 SV=2",65202.4,66236.6,76475.4,65542.9,114907.2,109396,168463.2,168272.6
"sp|P97360|ETV6_MOUSE","Etv6","Transcription factor ETV6 OS=Mus musculus GN=Etv6 PE=1 SV=1",33995.4,33999,38120.2,33864.7,37519.5,39736.8,63722.4,59988.7
"sp|Q9D7G4|EURL_MOUSE","Eurl","Protein EURL homolog OS=Mus musculus GN=Eurl PE=2 SV=1",19230.7,19683.4,19829.9,19648.5,25640.4,26203,29424.7,29242.9
"sp|Q61188|EZH2_MOUSE","Ezh2","Histone-lysine N-methyltransferase EZH2 OS=Mus musculus GN=Ezh2 PE=1 SV=2",33968.8,29906.2,29840.5,36325.9,37742.5,37759.2,61656.7,62625.3
"sp|Q05816|FABP5_MOUSE","Fabp5","Fatty acid-binding protein, epidermal OS=Mus musculus GN=Fabp5 PE=1 SV=3",60491.8,59922.4,61212.7,56559,67530.5,66615.8,91332.8,90099.8
"sp|Q8VE91|F134B_MOUSE","Fam134b","Protein FAM134B OS=Mus musculus GN=Fam134b PE=1 SV=1",52678.4,50116.4,65690.2,57337.3,99827.1,85426.5,121138.4,119520.1
"tr|E9QPM1|E9QPM1_MOUSE","Fam134b","Protein FAM134B OS=Mus musculus GN=Fam134b PE=4 SV=1",52415.9,49951.8,65038.7,57061.5,99985.4,85456.2,121509.5,119400.9
"tr|M0QWZ1|M0QWZ1_MOUSE","Fam193a","Protein FAM193A OS=Mus musculus GN=Fam193a PE=4 SV=1",26821.1,28339.6,23756.2,23072.4,31539.6,31511.8,41662.4,41223.3
"sp|Q9CQB2|F195A_MOUSE","Fam195a","Protein FAM195A OS=Mus musculus GN=Fam195a PE=1 SV=1",6985,5981.5,6878.7,6931.8,12970.8,12007.4,40063,41697.9
"sp|P58468|F207A_MOUSE","Fam207a","Protein FAM207A OS=Mus musculus GN=Fam207a PE=1 SV=1",7076.8,7108.1,5752,8196.7,10825.9,9270.4,20617.6,22046.2
"sp|Q5DTT3|F208B_MOUSE","Fam208b","Protein FAM208B OS=Mus musculus GN=Fam208b PE=2 SV=2",23332.4,23367.9,19410.6,23297.1,33894.8,32139.3,41093.6,40030.4
"sp|Q8BGY7|F210A_MOUSE","Fam210a","Protein FAM210A OS=Mus musculus GN=Fam210a PE=2 SV=1",52115,51386,53896.8,52211.1,81253.5,73538.4,94068,99929.3
"sp|Q6P539|F222B_MOUSE","Fam222b","Protein FAM222B OS=Mus musculus GN=Fam222b PE=2 SV=2",14210.2,14837,15361.7,13832,19439.5,17873.7,23454.3,22064.8
"sp|Q3UZW7|FA86A_MOUSE","Fam86a","Putative protein N-methyltransferase FAM86A OS=Mus musculus GN=Fam86a PE=2 SV=1",25598.1,27725.6,28525.6,24022.8,34614.9,32334.6,54130.3,50693.5
"sp|Q922J9|FACR1_MOUSE","Far1","Fatty acyl-CoA reductase 1 OS=Mus musculus GN=Far1 PE=1 SV=1",41438,41678.6,43844.8,43459.7,72032.3,67884.7,114635.4,113267.1
"sp|Q91VS8|FARP2_MOUSE","Farp2","FERM, RhoGEF and pleckstrin domain-containing protein 2 OS=Mus musculus GN=Farp2 PE=1 SV=2",3761,2898,2983.8,2613.3,5572.8,5244.9,9068,8819
"sp|P19096|FAS_MOUSE","Fasn","Fatty acid synthase OS=Mus musculus GN=Fasn PE=1 SV=2",122467.8,119409.1,121913.8,119869.2,183456.1,169226.2,296294.2,299894.9
"sp|Q922E6|FAKD2_MOUSE","Fastkd2","FAST kinase domain-containing protein 2 OS=Mus musculus GN=Fastkd2 PE=2 SV=2",40905.3,41054.9,44732.7,40583.7,46884.3,45298.1,65048,60829.4
"sp|P35545|UBIM_MOUSE","Fau","Ubiquitin-like protein FUBI OS=Mus musculus GN=Fau PE=1 SV=1",7594.7,8352.7,14395,12008.4,27253.8,24987.3,30213,28588
"sp|P62862|RS30_MOUSE","Fau","40S ribosomal protein S30 OS=Mus musculus GN=Fau PE=1 SV=1",80635.1,88408,74566.2,80790.6,126761.1,115029.7,206720.8,226602.7
"sp|Q9QXW0|FBXL6_MOUSE","Fbxl6","F-box/LRR-repeat protein 6 OS=Mus musculus GN=Fbxl6 PE=2 SV=2",10931.8,11902.4,11954.6,12575.4,16164.3,15753.8,23254.9,20470
"sp|Q8BJL1|FBX30_MOUSE","Fbxo30","F-box only protein 30 OS=Mus musculus GN=Fbxo30 PE=1 SV=2",6746.8,7345,6957.9,6936.4,9708.2,8370,13048.1,14294.3
"sp|Q5SRY7|FBW1B_MOUSE","Fbxw11","F-box/WD repeat-containing protein 11 OS=Mus musculus GN=Fbxw11 PE=1 SV=1",45652.3,45907.9,46579.2,42325.4,60763.2,58019.3,70669.3,69658.8
"sp|P53798|FDFT_MOUSE","Fdft1","Squalene synthase OS=Mus musculus GN=Fdft1 PE=2 SV=2",8598.4,8506.2,11587.8,10005.8,12552.7,11865.3,18920.5,18287.1
"sp|Q920E5|FPPS_MOUSE","Fdps","Farnesyl pyrophosphate synthase OS=Mus musculus GN=Fdps PE=1 SV=1",92295.3,80920.9,100167.3,95445,105566.4,101090.2,146179.7,147018.1
"sp|Q9Z2G0|FEM1B_MOUSE","Fem1b","Protein fem-1 homolog B OS=Mus musculus GN=Fem1b PE=1 SV=1",51351.9,46700.4,46151.9,48714.3,67702.8,64890.5,79191.9,81440.7
"sp|Q8CEF1|FEM1C_MOUSE","Fem1c","Protein fem-1 homolog C OS=Mus musculus GN=Fem1c PE=2 SV=1",35829.2,33689.5,35212.4,31752,43362.6,41938.5,59874.2,57523.2
"sp|P70377|FGF13_MOUSE","Fgf13","Fibroblast growth factor 13 OS=Mus musculus GN=Fgf13 PE=1 SV=2",30444.9,31641.8,30259.7,30918.6,46764.3,44324.8,46808.1,48184.5
"sp|P30416|FKBP4_MOUSE","Fkbp4","Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Mus musculus GN=Fkbp4 PE=1 SV=5",153221.6,155768.6,167881.5,153674.2,191303.8,181901.6,254494.3,258862.4
"sp|Q68FD7|FNIP1_MOUSE","Fnip1","Folliculin-interacting protein 1 OS=Mus musculus GN=Fnip1 PE=1 SV=1",22959.7,21813.7,24901,24865.6,31535.9,30764.6,35119.5,34547.1
"sp|P48755|FOSL1_MOUSE","Fosl1","Fos-related antigen 1 OS=Mus musculus GN=Fosl1 PE=2 SV=2",3998.8,5566.3,4921.5,4960.6,18764.4,15277.7,48912.5,57223
"sp|Q3UCQ1|FOXK2_MOUSE","Foxk2","Forkhead box protein K2 OS=Mus musculus GN=Foxk2 PE=1 SV=3",75450.7,72693.6,68666.8,71001.9,86020.7,84018.3,117371.6,121436.2
"sp|Q9DBY0|FOXP4_MOUSE","Foxp4","Forkhead box protein P4 OS=Mus musculus GN=Foxp4 PE=1 SV=1",22981.8,23720.2,25894.7,21887.8,36485,33905.5,51849.3,51935.1
"sp|P48760|FOLC_MOUSE","Fpgs","Folylpolyglutamate synthase, mitochondrial OS=Mus musculus GN=Fpgs PE=1 SV=3",17415.6,18215.8,19048.3,17921.1,27431.2,26648,55621.8,56549.1
"sp|A2ARZ3|FSIP2_MOUSE","Fsip2","Fibrous sheath-interacting protein 2 OS=Mus musculus GN=Fsip2 PE=1 SV=3",5607.2,5413.8,7365,6082.3,10070.4,8860.7,13189.2,13051.6
"tr|Q8CBC7|Q8CBC7_MOUSE","Ftsj1","Putative tRNA (cytidine(32)/guanosine(34)-2'-O)-methyltransferase OS=Mus musculus GN=Ftsj1 PE=2 SV=1",26917.2,25750.3,23679.2,24714.9,30972.9,28421.9,41739.5,40006
"sp|Q9DBE9|SPB1_MOUSE","Ftsj3","pre-rRNA processing protein FTSJ3 OS=Mus musculus GN=Ftsj3 PE=1 SV=1",81148.2,81174.8,50665.4,74306.4,123301.8,105055.6,276609.3,299651.4
"sp|P11370|ENV2_MOUSE","Fv4","Retrovirus-related Env polyprotein from Fv-4 locus OS=Mus musculus GN=Fv4 PE=4 SV=2",33200.9,36190.9,40568.9,35826.9,90282.2,82407.2,109396,109885.8
"sp|Q61584|FXR1_MOUSE","Fxr1","Fragile X mental retardation syndrome-related protein 1 OS=Mus musculus GN=Fxr1 PE=1 SV=2",68655.7,67443.2,58114.6,64370.5,84633.7,80131.2,105882.9,103831.7
"sp|Q61584-5|FXR1_MOUSE","Fxr1","Isoform D of Fragile X mental retardation syndrome-related protein 1 OS=Mus musculus GN=Fxr1",98652.1,96503.9,82908.1,92272.1,121366.3,115582.9,151513.4,148612.5
"sp|Q9WVR4|FXR2_MOUSE","Fxr2","Fragile X mental retardation syndrome-related protein 2 OS=Mus musculus GN=Fxr2 PE=1 SV=1",46051.4,46103.8,42272.6,46225.5,60406.9,58623.1,76883.2,78032
"tr|Q6P5B5|Q6P5B5_MOUSE","Fxr2","Fragile X mental retardation syndrome-related protein 2 OS=Mus musculus GN=Fxr2 PE=1 SV=1",60281.4,59278.3,55170.6,58185,78017.9,75350.9,99832.2,100613.4
"sp|Q91Z49|UIF_MOUSE","Fyttd1","UAP56-interacting factor OS=Mus musculus GN=Fyttd1 PE=1 SV=1",18965.1,19552.7,18371.7,24946.7,25295.2,24647.4,75804.5,67657.4
"sp|P97855|G3BP1_MOUSE","G3bp1","Ras GTPase-activating protein-binding protein 1 OS=Mus musculus GN=G3bp1 PE=1 SV=1",109487.9,106327.2,93234,107328.3,142711.2,137045,195800.1,207072.5
"sp|P97379|G3BP2_MOUSE","G3bp2","Ras GTPase-activating protein-binding protein 2 OS=Mus musculus GN=G3bp2 PE=1 SV=2",81857.5,81542.3,78367.5,81787.6,120599.5,115075.5,148263.6,155320.9
"sp|P97379-2|G3BP2_MOUSE","G3bp2","Isoform B of Ras GTPase-activating protein-binding protein 2 OS=Mus musculus GN=G3bp2",81219.7,81375.3,78202.9,81736.3,121733.9,115550.4,147687.6,155582.1
"sp|Q9DCD6|GBRAP_MOUSE","Gabarap","Gamma-aminobutyric acid receptor-associated protein OS=Mus musculus GN=Gabarap PE=1 SV=2",62727.2,60263.2,64848,69157,82384.3,76937.7,105002.7,97673.1
"sp|P60521|GBRL2_MOUSE","Gabarapl2","Gamma-aminobutyric acid receptor-associated protein-like 2 OS=Mus musculus GN=Gabarapl2 PE=1 SV=1",61908.8,63270.7,81499.7,74706.4,128522,116282,191871.7,198516
"sp|Q8CA72|GAN_MOUSE","Gan","Gigaxonin OS=Mus musculus GN=Gan PE=1 SV=2",23481.3,25373.9,24273.7,22267.1,32749,30645.1,39902,43056.1
"sp|Q9CY66|GAR1_MOUSE","Gar1","H/ACA ribonucleoprotein complex subunit 1 OS=Mus musculus GN=Gar1 PE=2 SV=1",75519.2,70979.7,65234.2,83720.8,95823.4,93625,156964.6,145495.6
"sp|Q9CZD3|SYG_MOUSE","Gars","Glycine--tRNA ligase OS=Mus musculus GN=Gars PE=1 SV=1",155400.3,147940.1,159113.9,144674.1,174440,167561.2,242851.6,246897
"sp|Q64737|PUR2_MOUSE","Gart","Trifunctional purine biosynthetic protein adenosine-3 OS=Mus musculus GN=Gart PE=2 SV=3",128628,124112,127816.6,124165.6,158213,150564.9,234995.2,235937
"sp|Q9Z0E6|GBP2_MOUSE","Gbp2","Interferon-induced guanylate-binding protein 2 OS=Mus musculus GN=Gbp2 PE=1 SV=1",85679.4,82441.8,88608.7,85808,219265,248973.2,288224.1,290315
"sp|Q8CFB4|GBP5_MOUSE","Gbp5","Guanylate-binding protein 5 OS=Mus musculus GN=Gbp5 PE=1 SV=2",57971.5,58485.5,58599.2,57602.1,134600.9,168542.4,190310.5,196185.3
"tr|E9PVA8|E9PVA8_MOUSE","Gcn1l1","Protein Gcn1l1 OS=Mus musculus GN=Gcn1l1 PE=4 SV=1",129851.8,125249.4,133587,127574.9,139723.6,131364.1,199208.8,198312
"tr|Q6P6L6|Q6P6L6_MOUSE","Gemin4","Gem (Nuclear organelle) associated protein 4 OS=Mus musculus GN=Gemin4 PE=2 SV=1",63422.4,66043,68335.3,65410.7,85610.6,82893.4,123395.1,126610.2
"sp|Q8BX17|GEMI5_MOUSE","Gemin5","Gem-associated protein 5 OS=Mus musculus GN=Gemin5 PE=2 SV=2",88196.8,83748.3,83033,84613.4,117624.5,109982,163174.8,167702.5
"sp|Q9CX53|GEMI6_MOUSE","Gemin6","Gem-associated protein 6 OS=Mus musculus GN=Gemin6 PE=2 SV=2",26523.8,24456.9,27244.6,23070.2,26780.8,26539.2,41308.2,39743.9
"sp|P70338|GFI1_MOUSE","Gfi1","Zinc finger protein Gfi-1 OS=Mus musculus GN=Gfi1 PE=1 SV=2",12278.8,11512,9069,14155.7,29590.9,26456,39818.3,45514.1
"sp|Q8K0D5|EFGM_MOUSE","Gfm1","Elongation factor G, mitochondrial OS=Mus musculus GN=Gfm1 PE=2 SV=1",91773.4,92060.8,88104.5,89019.4,111574.4,105476,167632.7,165024.1
"sp|Q3UHD2|GFOD1_MOUSE","Gfod1","Glucose-fructose oxidoreductase domain-containing protein 1 OS=Mus musculus GN=Gfod1 PE=2 SV=1",24512.2,25036.8,23787.8,24966.2,54887,48367.3,67497,69722.6
"sp|Q9Z2Z9|GFPT2_MOUSE","Gfpt2","Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 OS=Mus musculus GN=Gfpt2 PE=2 SV=3",51089.3,53017.2,52969.9,52482.5,62813.4,60072.2,83333,80762.6
"sp|Q6P5E6|GGA2_MOUSE","Gga2","ADP-ribosylation factor-binding protein GGA2 OS=Mus musculus GN=Gga2 PE=1 SV=1",47223.7,50831.3,51828,50107.5,86780.3,76340.9,120273.4,113646.1
"sp|Q5SV77|GGNB2_MOUSE","Ggnbp2","Gametogenetin-binding protein 2 OS=Mus musculus GN=Ggnbp2 PE=1 SV=1",27725.7,25587.6,30080.3,28932.7,42460,41946.5,46663.6,45566.9
"sp|Q9CPY6|GID4_MOUSE","Gid4","Glucose-induced degradation protein 4 homolog OS=Mus musculus GN=Gid4 PE=2 SV=1",42123.3,43203,43264.3,40688.6,52470.6,48986.2,65154.8,68111.5
"sp|Q6Y7W8|PERQ2_MOUSE","Gigyf2","PERQ amino acid-rich with GYF domain-containing protein 2 OS=Mus musculus GN=Gigyf2 PE=1 SV=2",78535.8,73743.7,63239,73467.9,103398.9,98920.5,118860.4,124597.5
"tr|G3UYH4|G3UYH4_MOUSE","Gigyf2","PERQ amino acid-rich with GYF domain-containing protein 2 (Fragment) OS=Mus musculus GN=Gigyf2 PE=4 SV=1",16030.8,16445.2,12284.3,13514.4,20763.5,18911.7,28248.5,26146.5
"sp|Q9CZ15|PSF1_MOUSE","Gins1","DNA replication complex GINS protein PSF1 OS=Mus musculus GN=Gins1 PE=2 SV=1",24003,22401.4,21106.2,23090.1,22033.1,20220.9,37289,35196.5
"sp|Q99LZ3|SLD5_MOUSE","Gins4","DNA replication complex GINS protein SLD5 OS=Mus musculus GN=Gins4 PE=1 SV=1",14995.6,17017.9,15544.6,16284.9,15688.6,14588.9,23079.5,22741.9
"sp|Q8BZM1|GLMN_MOUSE","Glmn","Glomulin OS=Mus musculus GN=Glmn PE=2 SV=1",74753.5,72255.8,79840,71555.6,89028,84309.2,131011.9,136793.4
"sp|Q9CQM9|GLRX3_MOUSE","Glrx3","Glutaredoxin-3 OS=Mus musculus GN=Glrx3 PE=1 SV=1",135297.9,138551.7,141365.1,133037.3,158117.9,158498,206543.3,209820.3
"tr|Q8BK35|Q8BK35_MOUSE","Gltscr2","MCG2065, isoform CRA_c OS=Mus musculus GN=Gltscr2 PE=1 SV=1",29214.4,25334.8,25348,27204.3,43614.4,40019.9,112999.4,115774.1
"tr|E9QAZ2|E9QAZ2_MOUSE","Gm10020","Ribosomal protein L15 OS=Mus musculus GN=Gm10020 PE=3 SV=1",114017.2,109529.8,68094.2,120492.4,144574.8,138744.9,280978.5,294571.9
"tr|D3YYL7|D3YYL7_MOUSE","Gm10126","Uncharacterized protein OS=Mus musculus GN=Gm10126 PE=4 SV=2",44450.6,27889.5,36799.2,58712.6,40221.1,38024.2,128354.4,122133.9
"tr|D3Z237|D3Z237_MOUSE","Gm10355","Uncharacterized protein OS=Mus musculus GN=Gm10355 PE=4 SV=1",12258.9,12228.2,13106.1,12589.5,15379.1,14617.4,24336.1,23999.7
"tr|Q9CQX6|Q9CQX6_MOUSE","Gm16286","MCG141091, isoform CRA_a OS=Mus musculus GN=Gm16286 PE=2 SV=1",112521.1,104155.3,105717.6,100582.9,127193,118769.3,179076,177901
"tr|E9Q368|E9Q368_MOUSE","Gm17296","Protein Gm17296 OS=Mus musculus GN=Gm17296 PE=4 SV=1",29187.9,29130.8,30356.6,30537.5,50221.8,44266.8,78614,79589.5
"tr|F6QL70|F6QL70_MOUSE","Gm17669","Protein Gm17669 OS=Mus musculus GN=Gm17669 PE=4 SV=1",69324.9,63780.7,59160.3,72383.5,124565.4,110452.5,318707.2,265670.3
"tr|F6TVX7|F6TVX7_MOUSE","Gm20671","Uncharacterized protein (Fragment) OS=Mus musculus GN=Gm20671 PE=4 SV=1",21532.1,23993,23119.1,24895.2,43259.7,39161.3,64446.6,65950.2
"tr|J3QN38|J3QN38_MOUSE","Gm21972","Protein Gm21972 (Fragment) OS=Mus musculus GN=Gm21972 PE=4 SV=1",88329.9,92092.2,93434.5,90675.3,104577.1,101759.1,141099,136681
"tr|J3KMQ2|J3KMQ2_MOUSE","Gm5422","Uncharacterized protein OS=Mus musculus GN=Gm5422 PE=4 SV=1",156165.9,156863.8,160972.4,152780.3,176751.4,173254.5,235529.4,238631
"tr|J3QP80|J3QP80_MOUSE","Gm5814","MCG15559 OS=Mus musculus GN=Gm5814 PE=4 SV=1",10445.4,11479,12248.3,12034,22405.5,22629.1,28697.2,31275.1
"tr|E9Q3K0|E9Q3K0_MOUSE","Gm6588","Protein Gm6588 OS=Mus musculus GN=Gm6588 PE=4 SV=1",17763.6,17019.2,14799.3,15748.5,25509,26450.8,34849.6,38516.7
"tr|F6SVV1|F6SVV1_MOUSE","Gm9493","Protein Gm9493 OS=Mus musculus GN=Gm9493 PE=4 SV=1",230314,214851.2,204607,225227.9,335334.6,320067.9,552963.6,581699.5
"sp|P68040|GBLP_MOUSE","Gnb2l1","Guanine nucleotide-binding protein subunit beta-2-like 1 OS=Mus musculus GN=Gnb2l1 PE=1 SV=3",329844,338788,336542.1,322604.8,396199.4,386138.6,511159.8,527048.6
"sp|Q9DAS9|GBG12_MOUSE","Gng12","Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12 OS=Mus musculus GN=Gng12 PE=1 SV=3",47899.4,47560.3,42788.3,49895.8,61790.2,57965.6,77144.2,78662.3
"sp|Q99LH1|NOG2_MOUSE","Gnl2","Nucleolar GTP-binding protein 2 OS=Mus musculus GN=Gnl2 PE=2 SV=2",33875,31013.6,26114.5,31720,48210.2,45516.5,106741.3,116659.7
"sp|Q8CI11|GNL3_MOUSE","Gnl3","Guanine nucleotide-binding protein-like 3 OS=Mus musculus GN=Gnl3 PE=1 SV=2",117855,112681.7,86832,97415.4,152371.7,141231.2,271932.3,276370.6
"sp|Q6PGG6|GNL3L_MOUSE","Gnl3l","Guanine nucleotide-binding protein-like 3-like protein OS=Mus musculus GN=Gnl3l PE=1 SV=1",32509.9,32962.9,23683.4,34898.2,73796.9,66611,126295,141068.6
"sp|Q3TFK5|GPTC4_MOUSE","Gpatch4","G patch domain-containing protein 4 OS=Mus musculus GN=Gpatch4 PE=1 SV=1",51315.4,46313.9,41286.3,48787.5,70958.4,64642.9,157718.9,159187.1
"sp|Q8BUV3|GEPH_MOUSE","Gphn","Gephyrin OS=Mus musculus GN=Gphn PE=1 SV=2",74484.9,76769,80716.3,75011,99676.3,96254.9,152785.1,145878.3
"tr|A0JNY3|A0JNY3_MOUSE","Gphn","Gephyrin OS=Mus musculus GN=Gphn PE=1 SV=1",74410.8,76716.7,79662.9,74573.7,99599.6,95597.2,152478.3,147672.6
"sp|Q8VCE2|GPN1_MOUSE","Gpn1","GPN-loop GTPase 1 OS=Mus musculus GN=Gpn1 PE=1 SV=1",33874.8,31148.4,37881.2,31780.3,45045.2,42002.4,62335,61165.2
"sp|Q9D3W4|GPN3_MOUSE","Gpn3","GPN-loop GTPase 3 OS=Mus musculus GN=Gpn3 PE=2 SV=1",24628.2,24791.4,24633.2,22440.9,24536.1,24975.2,43426,39728.8
"sp|Q8BG55|GP171_MOUSE","Gpr171","Probable G-protein coupled receptor 171 OS=Mus musculus GN=Gpr171 PE=2 SV=1",48967.8,48187.1,61809.1,60918.4,71157.7,67368.8,79640.9,78591.6
"sp|Q80TI0|GRM1B_MOUSE","Gramd1b","GRAM domain-containing protein 1B OS=Mus musculus GN=Gramd1b PE=2 SV=2",31740.3,31392.2,33134.8,35433.8,104079,92249.9,154511.4,161768.8
"sp|Q80TI0-4|GRM1B_MOUSE","Gramd1b","Isoform 4 of GRAM domain-containing protein 1B OS=Mus musculus GN=Gramd1b",32491.3,31625.5,34412.2,37566.9,104874.2,92608,151948.1,157930.7
"sp|Q9CX99|GRAP_MOUSE","Grap","GRB2-related adapter protein OS=Mus musculus GN=Grap PE=2 SV=1",80276.2,82238.8,80725.6,74083.9,100183,96753.6,124028.2,120058.2
"sp|O88396|GRPE2_MOUSE","Grpel2","GrpE protein homolog 2, mitochondrial OS=Mus musculus GN=Grpel2 PE=2 SV=2",31558.1,30799.6,32832.5,29009.4,56637.3,51092.4,87455,85621.3
"sp|Q8C5Q4|GRSF1_MOUSE","Grsf1","G-rich sequence factor 1 OS=Mus musculus GN=Grsf1 PE=1 SV=2",26220.1,26943.8,28700.1,26372.6,37317.6,34086.1,57299.9,56258.2
"sp|Q810D6|GRWD1_MOUSE","Grwd1","Glutamate-rich WD repeat-containing protein 1 OS=Mus musculus GN=Grwd1 PE=2 SV=2",86175.9,91044.1,83005.3,82902.3,112785.6,113923.5,154634.6,158888.4
"sp|Q8R050|ERF3A_MOUSE","Gspt1","Eukaryotic peptide chain release factor GTP-binding subunit ERF3A OS=Mus musculus GN=Gspt1 PE=1 SV=2",164744.9,163541.9,171548.3,153512.2,191546.2,188106.2,245907.9,252078
"sp|Q9D902|T2EB_MOUSE","Gtf2e2","General transcription factor IIE subunit 2 OS=Mus musculus GN=Gtf2e2 PE=1 SV=2",44224.9,41948.2,38223.9,63817,64970.9,60821,133042.5,144328.3
"sp|Q99ME9|NOG1_MOUSE","Gtpbp4","Nucleolar GTP-binding protein 1 OS=Mus musculus GN=Gtpbp4 PE=2 SV=3",38829.7,39044.5,33448.4,46349.4,57798.4,55091.3,132437.9,120216
"sp|P06339|HA15_MOUSE","H2-T23","H-2 class I histocompatibility antigen, D-37 alpha chain OS=Mus musculus GN=H2-T23 PE=1 SV=1",54651.9,53524.5,61372.5,59309,89807.2,94178.5,113938.9,112811.7
"sp|Q8BY71|HAT1_MOUSE","Hat1","Histone acetyltransferase type B catalytic subunit OS=Mus musculus GN=Hat1 PE=1 SV=1",60690.1,60462.7,61048.5,59164.6,91442.3,85842.8,138976.7,141458.1
"sp|O35387|HAX1_MOUSE","Hax1","HCLS1-associated protein X-1 OS=Mus musculus GN=Hax1 PE=1 SV=1",32563.9,33908.4,35669.7,32745,43262.7,40332.1,59386.2,63627.5
"sp|Q8C2B3|HDAC7_MOUSE","Hdac7","Histone deacetylase 7 OS=Mus musculus GN=Hdac7 PE=1 SV=2",63880.7,63851.7,60857.2,65938.5,69490.9,66377.3,105204.1,104039
"sp|Q8C2B3-2|HDAC7_MOUSE","Hdac7","Isoform 2 of Histone deacetylase 7 OS=Mus musculus GN=Hdac7",63748.6,63688.3,59926.2,65658.3,69599.4,66450.6,106029.1,104800.4
"sp|Q8BQM4|HEAT3_MOUSE","Heatr3","HEAT repeat-containing protein 3 OS=Mus musculus GN=Heatr3 PE=2 SV=1",61406.8,60677,65027.3,63009.6,95128.9,86425.5,154772.4,148313.2
"sp|Q69ZR2|HECD1_MOUSE","Hectd1","E3 ubiquitin-protein ligase HECTD1 OS=Mus musculus GN=Hectd1 PE=1 SV=2",85445,87110.8,89696,87149.2,112594.5,106449.7,149206.4,156474.9
"tr|F8WIE5|F8WIE5_MOUSE","Hectd1","E3 ubiquitin-protein ligase HECTD1 OS=Mus musculus GN=Hectd1 PE=1 SV=1",85873.9,88192.4,90304,87672.6,112583.4,106263.5,147973.8,153877.2
"sp|Q60848|HELLS_MOUSE","Hells","Lymphocyte-specific helicase OS=Mus musculus GN=Hells PE=1 SV=2",32342.9,29615.9,24787.7,33558.3,31876.6,29398.4,74008.1,68389.4
"sp|Q921L7|HEMK1_MOUSE","Hemk1","HemK methyltransferase family member 1 OS=Mus musculus GN=Hemk1 PE=2 SV=2",14003.4,14740.8,15295.5,13467.8,15722.6,13835.6,25767.1,25716.3
"sp|Q8C3I8|HGH1_MOUSE","Hgh1","Protein HGH1 homolog OS=Mus musculus GN=Hgh1 PE=2 SV=1",55304.5,55859.5,57611.2,51818.6,78935.7,74269.2,105199.5,110452.9
